Bacia sedimentar,Código do poço (API),Nome do poço (ANP),Tipo de fluido,Profundidade topo (m),Profundidade base (m),Quantidade de amostra,Tipo de container,Volume (L),Data de conclusão do poço,Município/Estado,Depositária
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,0",,1,Garrafa de Vidro (11682-QA),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (13522-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (19044-QA),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (19052-QA),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (19056-QA),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1904,00",,1,Garrafa de Vidro (19726-IB),"0,23",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (20216-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (20552-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (20774-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (21006-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (21010-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (21011-IB),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (22361-IB),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (22362-IB),"0,19",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (22835-IB),"0,19",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (22868-IB),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (22876-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (23342-IB),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (23346-IB),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (23554-IB),"0,19",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (28081-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (28124-IB),"0,18",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (28909-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1931,40",,1,Garrafa de Vidro (32105-IB),"0,22",22/02/2023,RIO DE JANEIRO/RJ,KAROON
CAMPOS,9-NEO-1-SPS,Neon-1,Fluid em Condições Atmosféricas (STO),"1896,00",,1,Garrafa de Vidro (32551-IB),"0,28",22/02/2023,RIO DE JANEIRO/RJ,KAROON
