bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
ALAGOAS MAR,81160406100.0,1-BRSA-132-ALS,ÁGUA,"2.750,60","2.750,60",3.0,Garrafa Vidro Âmbar,1,2002-04-26,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150497500.0,1-BRSA-935-AL,ÁGUA,"352,00","372,00",5.0,Garrafa Vidro Âmbar,1,2011-06-05,CATU/BA,PETROBRAS
ALMADA MAR,202660630900.0,1-BRSA-637D-BAS,ÓLEO,"1.471,50","1.471,50",1.0,Garrafa Vidro Âmbar,1,2008-11-25,CATU/BA,PETROBRAS
ALMADA MAR,202660630900.0,1-BRSA-637D-BAS,ÓLEO,"2.760,20","2.760,20",1.0,Garrafa Vidro Âmbar,1,2008-11-25,CATU/BA,PETROBRAS
ALMADA MAR,202660630900.0,1-BRSA-637D-BAS,ÓLEO,"2.773,00","2.775,00",2.0,Garrafa Vidro Âmbar,1,2008-11-25,CATU/BA,PETROBRAS
ALMADA MAR,202660640700.0,1-BRSA-734-BAS,CONDENSADO,"3.689,40","3.709,40",2.0,Garrafa Vidro Âmbar,1,2009-09-07,CATU/BA,PETROBRAS
ALMADA MAR,202660640700.0,1-BRSA-734-BAS,ÁGUA DE FORMAÇÃO,"3.811,00","3.811,00",2.0,Garrafa Vidro Âmbar,1,2009-09-07,CATU/BA,PETROBRAS
CEARÁ,300960850000.0,1-BRSA-1080-CES,ÓLEO,"3.800,00","3.826,00",4.0,Garrafa Vidro Âmbar,1,2012-09-13,CATU/BA,PETROBRAS
ESPÍRITO SANTO TERRA,342700131500.0,1-BRSA-426-ES,ÓLEO,"465,00","474,00",1.0,Garrafa Vidro Âmbar,1,2007-09-06,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400624300.0,1-BRSA-540-BA,ÓLEO,"1.182,60","1.182,60",2.0,Garrafa Vidro Âmbar,1,2007-11-19,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400674500.0,1-STAR-27-BA,ÓLEO,"3.182,00","3.200,20",1.0,Garrafa Vidro Âmbar,1,2013-01-16,CATU/BA,PETROBRAS
SOLIMÕES,140200061600.0,1-CUP-1-AM,ÁGUA,"0,00","0,00",2.0,Garrafa Vidro Âmbar,1,1989-07-03,CATU/BA,PETROBRAS
SOLIMÕES,140200061600.0,1-CUP-1-AM,CONDENSADO,"2.475,00","2.480,00",2.0,Garrafa Vidro Âmbar,1,1989-07-03,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150421100.0,1-BRSA-266D-AL,ÓLEO,"1.077,10","1.077,10",1.0,Garrafa Vidro Âmbar,1,2004-05-15,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150421100.0,1-BRSA-266D-AL,ÓLEO,"1.149,00","1.149,00",1.0,Garrafa Vidro Âmbar,1,2004-05-15,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150432200.0,1-BRSA-355D-AL,ÓLEO,"1.206,00","1.211,00",1.0,Garrafa Vidro Âmbar,1,2005-12-03,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150432200.0,1-BRSA-355D-AL,ÁGUA,"1.358,50","1.358,50",5.0,Garrafa Vidro Âmbar,1,2005-12-03,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150432200.0,1-BRSA-355D-AL,ÁGUA,"1.760,00","1.760,00",5.0,Garrafa Vidro Âmbar,1,2005-12-03,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150432200.0,1-BRSA-355D-AL,ÁGUA,"1.763,50","1.763,50",6.0,Garrafa Vidro Âmbar,1,2005-12-03,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150432200.0,1-BRSA-355D-AL,ÁGUA,"2.132,00","2.137,00",3.0,Garrafa Vidro Âmbar,1,2005-12-03,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150438700.0,1-BRSA-410D-AL,ÁGUA,"1.271,00","1.290,00",4.0,Garrafa Vidro Âmbar,1,2006-06-21,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150548000.0,1-BRSA-1315-AL,ÁGUA,"406,30","406,30",5.0,Garrafa Vidro Âmbar,1,2015-09-22,CATU/BA,PETROBRAS
ALAGOAS TERRA,81150548000.0,1-BRSA-1315-AL,ÁGUA,"2.230,00","2.247,00",8.0,Garrafa Vidro Âmbar,1,2015-09-22,CATU/BA,PETROBRAS
AMAZONAS,140300092300.0,1-BRSA-1293-AM,ÓLEO,"1.365,50","1.366,50",2.0,Garrafa Vidro Âmbar,1,2015-05-15,CATU/BA,PETROBRAS
AMAZONAS,140300092300.0,1-BRSA-1293-AM,ÓLEO,"1.791,00","1.797,00",3.0,Garrafa Vidro Âmbar,1,2015-05-15,CATU/BA,PETROBRAS
AMAZONAS,140300092300.0,1-BRSA-1293-AM,ÓLEO,"1.815,10","1.815,20",2.0,Garrafa Vidro Âmbar,1,2015-05-15,CATU/BA,PETROBRAS
AMAZONAS,140300092300.0,1-BRSA-1293-AM,ÓLEO,"1.894,00","1.897,50",2.0,Garrafa Vidro Âmbar,1,2015-05-15,CATU/BA,PETROBRAS
AMAZONAS,140300092300.0,1-BRSA-1293-AM,ÓLEO,"1.896,40","1.896,50",1.0,Garrafa Vidro Âmbar,1,2015-05-15,CATU/BA,PETROBRAS
CAMPOS MAR,342810084500.0,1-BRSA-108A-ESS,ÓLEO,"4.312,00","4.380,00",2.0,Garrafa Vidro Âmbar,1,2002-01-19,CATU/BA,PETROBRAS
CAMPOS MAR,342810084500.0,1-BRSA-108A-ESS,ÓLEO,"4.329,00","4.359,00",2.0,Garrafa Vidro Âmbar,1,2002-01-19,CATU/BA,PETROBRAS
CAMPOS MAR,342810084500.0,1-BRSA-108A-ESS,ÓLEO,"4.544,00","4.593,00",2.0,Garrafa Vidro Âmbar,1,2002-01-19,CATU/BA,PETROBRAS
