bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),profundidade_da_lâmina_(m),tipo_de_amostra_de_origem,quantidade_de_lâminas_delgadas,quantidade_de_lâminas_bioestratigráficas,data_de_conclusão_do_poço,município/estado,depositária
BARREIRINHAS MAR,500810028200.0,1-MAS-1,60.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,69.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,75.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,105.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,135.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,360.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,378.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,390.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,405.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,423.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
BARREIRINHAS MAR,500810028200.0,1-MAS-1,432.0,CALHA,1.0,0.0,1971-10-07,RIO DE JANEIRO/RJ,PETROBRAS
