bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),profundidade_(m),identificador_da_caixa,total_de_caixas,data_de_conclusão_do_poço,município/estado,depositária
ALMADA MAR,202660709800.0,1-BAS-71,443.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,445.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,464.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,469.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,478.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,482.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,485.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,487.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,500.4,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,505.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,509.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,520.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,534.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,537.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,543.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,549.9,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,555.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,561.4,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,561.8,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,564.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,567.9,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,599.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,617.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,638.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,643.5,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,662.9,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,677.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,684.7,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,687.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,710.0,1,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,721.6,2,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,733.0,2,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,737.5,2,8.0,1982-07-25,CATU/BA,PETROBRAS
ALMADA MAR,202660709800.0,1-BAS-71,741.5,2,8.0,1982-07-25,CATU/BA,PETROBRAS
