bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),número_do_testemunho,profundidade_do_plugue_(m),orientação_do_plugue_(h_ou_v),identificador_da_caixa,total_de_caixas,data_de_conclusão_do_poço,município/estado,depositária
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.05,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.33,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.39,V,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.47,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,965.22,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400135600.0,1-CD-2-BA,1.0,788.25,H,1,1.0,1962-12-16,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,5.0,506.6,V,1,1.0,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,669.75,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,670.05,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,670.35,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,887.55,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,887.85,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.15,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.3,V,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.5,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.95,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,889.0,V,1,1.0,1955-08-07,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,356.25,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,356.4,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,357.2,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,357.6,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,9.0,365.25,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,559.65,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,560.1,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,560.81,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,561.09,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,3.0,766.3,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,3.0,767.12,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,5.0,967.75,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,5.0,968.2,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400223600.0,3-SC-8-BA,1.0,980.0,H,1,1.0,1968-04-11,CATU/BA,PETROBRAS
RECÔNCAVO MAR,202400194900.0,5-DJR-3A-BA,2.0,80.07,H,1,1.0,1966-06-16,CATU/BA,PETROBRAS
RECÔNCAVO MAR,202400194900.0,5-DJR-3A-BA,2.0,80.07,V,1,1.0,1966-06-16,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,576.75,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,577.0,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,577.95,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.05,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.35,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.7,V,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.8,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,580.15,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,580.8,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,581.0,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,581.45,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,581.75,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.05,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.35,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.45,V,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.6,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.9,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,982.2,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,982.9,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,983.25,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,984.2,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,984.65,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,984.8,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,985.05,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,985.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,986.1,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,986.9,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,988.35,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,988.75,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,989.15,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,989.95,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,990.15,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,990.5,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,990.85,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.15,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.4,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.7,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.9,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.6,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.8,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.9,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,993.15,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,993.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,993.8,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.1,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.6,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.7,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,995.0,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
