Bacia sedimentar,Código do poço (API),Nome do poço (ANP),Número do testemunho,Total de caixas,Profundidade topo (m),Profundidade base (m),Data de conclusão do poço,Município/Estado,Depositária
RECÔNCAVO,'202400041700,7-PC-6-BA,Testemunho 1,5,"1433,50","1435,60",21/01/1955,RIO DE JANEIRO/RJ,3R
RECÔNCAVO,'202400041700,7-PC-6-BA,Testemunho 2,5,"1454,90","1461,80",21/01/1955,RIO DE JANEIRO/RJ,3R
RECÔNCAVO,202400048100',7-AG-27-BA,Testemunho 1,1,"1156,10","1159,50",07/06/1956,RIO DE JANEIRO/RJ,3R
RECÔNCAVO,202400048100',7-AG-27-BA,Testemunho 2,2,"1174,40","1183,50",07/06/1956,RIO DE JANEIRO/RJ,3R
RECÔNCAVO,202400048100',7-AG-27-BA,Testemunho 3,2,"1183,50","1189,60",07/06/1956,RIO DE JANEIRO/RJ,3R
RECÔNCAVO,202400048100',7-AG-27-BA,Testemunho 4,6,"1189,60","1195,70",07/06/1956,RIO DE JANEIRO/RJ,3R
CAMPOS,7.4281E+11,1-RJS-12-RJ,1,9,"2.667,00","2.667,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,2,9,"2.667,20","2.668,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,3,9,"2.668,20","2.669,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,4,9,"2.669,20","2.670,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,5,9,"2.670,20","2.671,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,6,9,"2.671,20","2.672,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,7,9,"2.672,20","2.673,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,8,9,"2.673,20","2.674,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,9,9,"2.674,20","2.675,20",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,1,4,"2.836,00","2.837,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,2,4,"2.837,00","2.838,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,3,4,"2.838,00","2.839,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,4,4,"2.839,00","2.840,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,1,6,"3.099,00","3.100,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,2,6,"3.100,00","3.101,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,3,6,"3.101,00","3.102,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,4,6,"3.102,00","3.103,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,5,6,"3.103,00","3.104,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,6,6,"3.104,00","3.105,00",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,1,10,"3.184,00","3.184,25",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,2,10,"3.184,25","3.185,25",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,3,10,"3.185,25","3.186,15",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,4,10,"3.186,15","3.187,05",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
CAMPOS,7.4281E+11,1-RJS-12-RJ,5,10,"3.187,05","3.188,05",27/01/1975,RIO DE JANEIRO/RJ,PERENCO
