bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),número_do_testemunho,total_de_caixas,profundidade_topo_(m),profundidade_base_(m),data_de_conclusão_do_poço,município/estado,depositária
RECÔNCAVO MAR,202400181900.0,1-DJX-6-BA,1.0,2,151.8,153.8,1965-10-10,CATU/BA,PETROBRAS
RECÔNCAVO MAR,202400181900.0,1-DJX-6-BA,2.0,4,797.4,801.4,1965-10-10,CATU/BA,PETROBRAS
RECÔNCAVO MAR,202400181900.0,1-DJX-6-BA,3.0,3,915.6,918.6,1965-10-10,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,1.0,1,962.0,962.9,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,2,964.0,969.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400135600.0,1-CD-2-BA,1.0,2,788.0,794.0,1962-12-16,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,1.0,2,336.3,340.3,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,2.0,1,346.0,349.0,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,3.0,1,349.0,354.1,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,4.0,1,468.9,472.7,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,5.0,4,506.6,512.6,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,6.0,3,677.4,683.4,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400042600.0,1-MT-3-BA,1.0,3,971.1,976.0,1955-03-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,2.0,2,262.1,268.2,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,1,668.7,673.3,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,2,884.5,890.3,1955-08-07,CATU/BA,PETROBRAS
