poço,extensão_do_arquivo,fonte_dos_dados,tipo_de_geoquímica,topo_(m),base_(m),cromatografia_gasosa,cromatografia_líquida,relatório,análise_de_óleo,análise_de_gás,análise_de_fluidos,análise_de_água,biomarcadores,aromáticos,saturados,isótopos,espectrometria_de_massas,diamantoides,carbono_orgânico_total,pirólise,inclusões_fluidas,sumário_de_óleo_cru,pvt,re/os_de_asfaltenos,litogeoquímica,reflectância_de_vitrinita,viscosidade,cadastro,operador,estado,bacia,campo,titularidade,latitude,longitude,datum,direcao,fonte_dos_dados
1ABV 0001D RN,pdf,LITOTECA,GEOQUIMICADEROCHA,,, , , , , , , , , , , , , ,X, , , , , , , , ,721000514700,Petrobras,RN,Potiguar,PATATIVA,Público,"-5,418273000000","-37,644196000000",SIRGAS2000,Direcional,
1-AGIP-3-ESS,xls,LITOTECA,GEOQUIMICADEROCHA,,,X,X, , , , , ,X,X,X,X, , , , , , , , , , , ,34281020448,Petrobras,ES,Campos,nan,Público,"-21,645353000000","-39,491077000000",SIRGAS2000,Vertical,
1-AGIP-3-ESS,pdf,LITOTECA,GEOQUIMICADEFLUIDO,,, , , , , , , , , , , , , , , , ,X, , , , , ,34281020448,Petrobras,ES,Campos,nan,Público,"-21,645353000000","-39,491077000000",SIRGAS2000,Vertical,
1-AGIP-3-ESS,pdf,LITOTECA,GEOQUIMICADEFLUIDO,,, , , , , , , , , , ,X, ,X, , , , , , , , , ,34281020448,Petrobras,ES,Campos,nan,Público,"-21,645353000000","-39,491077000000",SIRGAS2000,Vertical,
1ALC 0001  RN,xls,LITOTECA,GEOQUIMICADEROCHA,,, , , , , , , , , , , , , ,X,X, , , , , , , ,721000167700,Phoenix,RN,Potiguar,PERIQUITO,Público,"-5,513451000000","-37,418898000000",SIRGAS2000,Vertical,
1ALG 0001  SE,xls,LITOTECA,GEOQUIMICADEROCHA,,, , , , , , , , , , , , , ,X,X, , , , , , , ,901200078800,nan,SE,Sergipe,ALAGAMAR,Público,"-10,622658000000","-36,749369000000",SIRGAS2000,Vertical,
1ALS 0008  AL,xls,LITOTECA,GEOQUIMICADEROCHA,,,X,X, , , , , ,X,X,X,X, , , , , , , , , , , ,81160162400,nan,AL,Alagoas,nan,Público,"-10,169133000000","-36,010651000000",SIRGAS2000,Vertical,
1-ALV-5-BA,pdf,LITOTECA,GEOQUIMICADEROCHA,,, , , , , , , , , , , , , ,X,X, , , , , , , ,20240027402,Alvopetro,BA,Recôncavo,nan,Público,"-12,471451000000","-38,206621000000",SIRGAS2000,Vertical,
1-ALV-5-BA,pdf,LITOTECA,GEOQUIMICADEFLUIDO,,, , ,X, , , ,X, , , , , , , , , , , , , , , ,20240027402,Alvopetro,BA,Recôncavo,nan,Público,"-12,471451000000","-38,206621000000",SIRGAS2000,Vertical,
1-ALV-5-BA,pdf,LITOTECA,GEOQUIMICADEFLUIDO,,, , ,X, , ,X, , , , , , , , , , , , , , , , ,20240027402,Alvopetro,BA,Recôncavo,nan,Público,"-12,471451000000","-38,206621000000",SIRGAS2000,Vertical,
