poço,extensão_do_arquivo,fonte_dos_dados,tipo_de_geoquímica,topo_(m),base_(m),cromatografia_gasosa,cromatografia_líquida,relatório,análise_de_óleo,análise_de_gás,análise_de_fluidos,análise_de_água,biomarcadores,aromáticos,saturados,isótopos,espectrometria_de_massas,diamantoides,carbono_orgânico_total,pirólise,inclusões_fluidas,sumário_de_óleo_cru,pvt,re/os_de_asfaltenos,litogeoquímica,reflectância_de_vitrinita,viscosidade,cadastro,operador,estado,bacia,campo,titularidade,latitude,longitude,datum,direcao
1BT  0001  AM       ,xls,SIGEP,GEOQUIMICADEROCHA,3544.7,3556.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,140100031100,nan,AM,Acre,nan,Público,"-6,803852000000","-73,195386000000",SIRGAS2000,Vertical
1BT  0002  AM       ,xls,SIGEP,GEOQUIMICADEROCHA,1284.0,1350.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,140100031800,nan,AM,Acre,nan,Público,"-6,923808000000","-73,151292000000",SIRGAS2000,Vertical
1RM  0001  AC       ,xls,SIGEP,GEOQUIMICADEROCHA,1824.0,3999.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,40100047000,nan,AC,Acre,nan,Público,"-8,042875000000","-73,219749000000",SIRGAS2000,Vertical
1RPX 0001  AM       ,xls,SIGEP,GEOQUIMICADEROCHA,3907.5,4689.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,140100068500,nan,AM,Acre,nan,Público,"-7,111596000000","-73,092585000000",SIRGAS2000,Vertical
1SD  0001  AC       ,xls,SIGEP,GEOQUIMICADEROCHA,1566.0,3025.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,40100049100,nan,AC,Acre,nan,Público,"-8,179212000000","-73,376770000000",SIRGAS2000,Vertical
2JMST0001  AC       ,xls,SIGEP,GEOQUIMICADEROCHA,1509.0,1509.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,40100014800,nan,AC,Acre,nan,Público,"-8,243981000000","-73,272453000000",SIRGAS2000,Vertical
1ALS 0001  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,315.0,3294.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160152200,nan,AL,Alagoas,nan,Público,"-9,967724000000","-35,910709000000",SIRGAS2000,Vertical
1ALS 0002  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,600.0,3390.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160150300,nan,AL,Alagoas,nan,Público,"-9,713247000000","-35,675769000000",SIRGAS2000,Vertical
1ALS 0003  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,936.0,3090.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160156600,nan,AL,Alagoas,nan,Público,"-10,121653000000","-35,931564000000",SIRGAS2000,Vertical
1ALS 0004  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1890.0,3378.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160150900,nan,AL,Alagoas,nan,Público,"-10,423462000000","-36,170926000000",SIRGAS2000,Vertical
1ALS 0006  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,970.0,3792.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160149600,nan,AL,Alagoas,nan,Público,"-9,595347000000","-35,221382000000",SIRGAS2000,Vertical
1ALS 0007  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1032.0,3421.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160159600,nan,AL,Alagoas,nan,Público,"-10,049834000000","-35,803406000000",SIRGAS2000,Vertical
1ALS 0008  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,630.0,3390.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160162400,nan,AL,Alagoas,nan,Público,"-10,169133000000","-36,010651000000",SIRGAS2000,Vertical
1ALS 0009  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1728.0,3816.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160159200,nan,AL,Alagoas,nan,Público,"-10,308824000000","-36,171977000000",SIRGAS2000,Vertical
1ALS 0011  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1200.0,2532.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160163400,nan,AL,Alagoas,nan,Público,"-10,238564000000","-36,154333000000",SIRGAS2000,Vertical
1ALS 0016  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,660.0,3420.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160176700,nan,AL,Alagoas,nan,Público,"-9,641757000000","-35,443981000000",SIRGAS2000,Vertical
1ALS 0017  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,450.0,3030.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160203100,nan,AL,Alagoas,nan,Público,"-9,583088000000","-35,317442000000",SIRGAS2000,Vertical
1ALS 0018  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,930.0,2130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160192400,nan,AL,Alagoas,nan,Público,"-10,122808000000","-35,940358000000",SIRGAS2000,Vertical
1ALS 0020  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,512.0,2972.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160709000,nan,AL,Alagoas,nan,Público,"-9,411686000000","-35,218463000000",SIRGAS2000,Vertical
1ALS 0023  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1398.0,3468.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160248700,nan,AL,Alagoas,nan,Público,"-10,368171000000","-36,084792000000",SIRGAS2000,Vertical
1ALS 0024  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,780.0,3480.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160209000,nan,AL,Alagoas,nan,Público,"-10,255163000000","-36,077669000000",SIRGAS2000,Vertical
1ALS 0025  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,900.0,2430.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160207300,nan,AL,Alagoas,nan,Público,"-10,280472000000","-36,128797000000",SIRGAS2000,Vertical
1ALS 0026  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,903.0,2829.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160234900,Petrobras,AL,Alagoas,PARU,Público,"-10,312099000000","-36,086495000000",SIRGAS2000,Vertical
1ALS 0027  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1302.0,2706.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160244800,nan,AL,Alagoas,nan,Público,"-10,374566000000","-36,112542000000",SIRGAS2000,Vertical
1ALS 0028  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1104.0,2490.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160233600,nan,AL,Alagoas,nan,Público,"-10,277853000000","-36,187482000000",SIRGAS2000,Vertical
1ALS 0031  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,470.0,1685.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160711800,nan,AL,Alagoas,nan,Público,"-9,716170000000","-35,429389000000",SIRGAS2000,Vertical
1ALS 0032  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,900.0,3525.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160715000,Petrobras,AL,Alagoas,ÁREA DO ALS032,Público,"-10,606347000000","-36,210388000000",SIRGAS2000,Vertical
1ALS 0033  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,999.0,3159.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160303900,nan,AL,Alagoas,nan,Público,"-10,350286000000","-36,044314000000",SIRGAS2000,Vertical
1ALS 0034  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,1026.0,3186.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160310100,nan,AL,Alagoas,nan,Público,"-10,358797000000","-36,131098000000",SIRGAS2000,Vertical
1ALS 0035  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,828.0,2988.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160316300,nan,AL,Alagoas,nan,Público,"-9,974657000000","-35,868991000000",SIRGAS2000,Vertical
1ALS 0037  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,215.0,723.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160714000,nan,AL,Alagoas,nan,Público,"-9,861150000000","-35,808517000000",SIRGAS2000,Vertical
1ALS 0040  AL       ,xls,SIGEP,GEOQUIMICADEROCHA,414.0,2820.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,X,X,nan,nan,nan,nan,nan,nan,nan,81160318200,nan,AL,Alagoas,nan,Público,"-9,858045000000","-35,753365000000",SIRGAS2000,Vertical
