Column,Before,After
Poço,object,string
Extensão do Arquivo,object,string
Fonte dos Dados,object,string
Tipo de Geoquímica,object,string
Topo (m),object,float64
Base (m),object,float64
Cromatografia Gasosa,object,string
Cromatografia Líquida,object,string
Relatório,object,string
Análise de Óleo,object,string
Análise de Gás,object,string
Análise de Fluidos,object,string
Análise de Água,object,string
Biomarcadores,object,string
Aromáticos,object,string
Saturados,object,string
Isótopos,object,string
Espectrometria de Massas,object,string
Diamantoides,object,string
Carbono Orgânico Total,object,string
Pirólise,object,string
Inclusões Fluidas,object,string
Sumário de Óleo Cru,object,string
PVT,object,string
Re/Os de Asfaltenos,object,string
Litogeoquímica,object,string
Reflectância de Vitrinita,object,string
Viscosidade,object,string
CADASTRO,int64,int64
OPERADOR,object,string
ESTADO,object,string
BACIA,object,string
CAMPO,object,string
TITULARIDADE,object,string
LATITUDE,object,string
LONGITUDE,object,string
DATUM,object,string
DIRECAO,object,string
