nome,bacia,natureza_da_atividade,início_aquisição,término_aquisição,ambiente,confidencialidade,shape,bacia
GQ_PETROBRAS_SREC-T2_R12,Recôncavo,Exclusivo,2017-05-08,2020-02-21,Terrestre,Confidencial,NÃO,
GQ_PETROBRAS_BTPN150_BTPN166,Parnaíba,Exclusivo,2015-03-10,2015-12-06,Terrestre,Público,NÃO,
GQ_PRC_T_106_123_PETROBRAS,Parecis - Alto Xingu,Exclusivo,2014-04-05,2014-09-01,Terrestre,Público,SIM,
GQ_0402_PN_T_136_182_GALPENERGIA,Parnaíba,Exclusivo,2016-07-25,2016-11-30,Terrestre,Público,NÃO,
GQ_004_REC-T-151_PETRORECONCAVO,Recôncavo,Exclusivo,2007-02-15,2007-03-03,Terrestre,Público,NÃO,
GQ_005_PN-T-66_DEVON,Parnaíba,Exclusivo,2008-11-24,2008-12-16,Terrestre,Público,SIM,
GQ_005_ES-T-401_ES-T-410_STARFISH,Espírito Santo,Exclusivo,2009-04-24,2009-04-30,Terrestre,Público,SIM,
GQ_005_RIOP-T-75_LABREA,Rio do Peixe,Exclusivo,2008-06-26,2008-07-01,Terrestre,Público,SIM,
GQ_005_ES-T-400_LABREA,Espírito Santo,Exclusivo,2008-05-25,2008-06-01,Terrestre,Público,SIM,
GQ_003_SEAL-T-369_QUANTRA,Sergipe,Exclusivo,2007-04-25,2007-05-24,Terrestre,Público,SIM,
GQ_003_SEAL-T-340_QUANTRA,Sergipe,Exclusivo,2007-05-25,2007-05-29,Terrestre,Público,SIM,
GQ_003_POT-T-882_QUANTRA,Potiguar,Exclusivo,2007-04-19,2007-04-23,Terrestre,Público,SIM,
GQ_003_POT-T-321_AURIZONIA,Potiguar,Exclusivo,2006-09-16,2006-09-24,Terrestre,Público,SIM,
GQ_003_POT-T-883_AURIZONIA,Potiguar,Exclusivo,2006-09-05,2006-09-15,Terrestre,Público,SIM,
GQ_003_POT-T-701_AURIZONIA,Potiguar,Exclusivo,2006-07-31,2006-08-20,Terrestre,Público,SIM,
GQ_003_SEAL-T-426_QUANTRA,Sergipe,Exclusivo,2007-06-01,2007-06-04,Terrestre,Público,SIM,
GQ_003_SEAL-T-434_QUANTRA,Sergipe,Exclusivo,2007-06-01,2007-06-04,Terrestre,Público,SIM,
GQ_003_POT-T-406_AURIZONIA,Potiguar,Exclusivo,2007-02-02,2007-02-07,Terrestre,Público,SIM,
GQ_003_POT-T-367_QUANTRA,Potiguar,Exclusivo,2007-01-19,2007-01-26,Terrestre,Público,SIM,
GQ_003_POT-T-407_QUANTRA,Potiguar,Exclusivo,2007-01-27,2007-02-01,Terrestre,Público,SIM,
GQ_003_POT-T-573_AURIZONIA,Potiguar,Exclusivo,2007-02-28,2007-03-08,Terrestre,Público,SIM,
GQ_003_POT-T-619_AURIZONIA,Potiguar,Exclusivo,2007-03-09,2007-03-15,Terrestre,Público,SIM,
GQ_003_POT-T-576_AURIZONIA,Potiguar,Exclusivo,2007-03-15,2007-03-18,Terrestre,Público,SIM,
GQ_003_POT-T-298_AURIZONIA,Potiguar,Exclusivo,2007-03-28,2007-04-03,Terrestre,Público,SIM,
GQ_005_SOL-T-149_172_M&S_2,Solimões,Exclusivo,2009-10-19,2010-08-19,Terrestre,Público,NÃO,
GQ_005_SOL-T-151_174_M&S_1,Solimões,Exclusivo,2009-10-19,2010-08-19,Terrestre,Público,NÃO,
GQ_0018_REC-T-75_IMETAME,Recôncavo,Exclusivo,2016-08-29,2016-09-07,Terrestre,Público,SIM,
GQ_0313_BT_PN_03_PETROBRAS,Parnaíba,Exclusivo,2012-05-16,2012-08-08,Terrestre,Público,SIM,
GQ_06_SOL-T-169_170_191_192_PETRA,Solimões,Exclusivo,2009-10-19,2010-08-19,Terrestre,Público,NÃO,
GC0006_HRT_SOL_MEDIO_COARI,Solimões,Exclusivo,2013-03-15,2013-04-28,Terrestre,Público,SIM,
GQ0006_HRT_GQ_SOL_2011,Solimões,Exclusivo,2011-01-01,2011-11-28,Terrestre,Público,NÃO,
GQ_0006_REC-T-153_PETROSYNERGY,Recôncavo,Exclusivo,2010-04-04,2010-04-09,Terrestre,Público,SIM,
GQ_0006/BT-SOL-4_BT-SOL-4-A/HRTO&G,Solimões,Exclusivo,2010-06-01,2010-08-10,Terrestre,Público,SIM,
GQ0006_HRT_SOL_ALTO_COARI,Solimões,Exclusivo,2012-10-29,2013-03-03,Terrestre,Público,NÃO,
GQ0006_HRT_SOL_SUL_CARAUARI,Solimões,Exclusivo,2012-04-12,2012-06-10,Terrestre,Público,SIM,
GQ0006_HRT_SOL_CARAUARI,Solimões,Exclusivo,2012-04-12,2012-05-25,Terrestre,Público,NÃO,
GQ0006_HRT_SOL_RIO_SURUBIM,Solimões,Exclusivo,2012-04-12,2012-05-05,Terrestre,Público,SIM,
GQ0006_HRT_SOL_ARUA,Solimões,Exclusivo,2012-03-29,2012-04-20,Terrestre,Público,SIM,
GQ_PARECIS_TELES_PIRES_BR,Parecis - Alto Xingu,Exclusivo,2011-06-06,2012-02-09,Terrestre,Público,NÃO,
GQ_EGQ0009_SF-T-127/132_ORTENG,São Francisco,Exclusivo,2012-08-23,2012-09-12,Terrestre,Público,SIM,
GQ_0009_SFT104/114/120_IMET,São Francisco,Exclusivo,2012-08-23,2012-09-12,Terrestre,Público,SIM,
GQ_EGQ0013_PNT151_OPOG,Parnaíba,Exclusivo,2015-01-07,2015-04-15,Terrestre,Público,SIM,
GQ_EGQ0013_PNT137_OPOG,Parnaíba,Exclusivo,2015-01-07,2015-03-07,Terrestre,Público,SIM,
GQ3_0411_GEOQSP_POT_T_882,Potiguar,Exclusivo,2018-09-24,2018-10-17,Terrestre,Confidencial,SIM,
0005_PCORE_ANP_ JACUIPE,Jacuipe,de Fomento,2009-01-01,2009-12-01,Marítimo,Público,SIM,
0005_PCORE_ANP_PELOTAS,Pelotas,de Fomento,2008-01-01,2008-06-01,Marítimo,Público,SIM,
0006_GEOQS_ANP_ PARNAIBA,Parnaiba,de Fomento,2009-02-05,2010-06-01,Terrestre,Público,SIM,
0006_GEOQS_ANP_ SFRANCISCO,São Francisco,de Fomento,2012-09-12,2013-05-01,Terrestre,Público,SIM,
GQ3_0355_PCORE_MARGEM_LESTE,Santos/Campos,Não-Exclusivo,2018-06-20,2019-05-01,Marítimo,Confidencial,SIM,
