POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INICIO,TERMINO,CONCLUSAO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
7-JUB-62D-ESS,34281029760,Petrobras,7-JUB-62D-ESS,ES,Campos,nan,JUB  ,JUBARTE,M,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,2021-12-11,,12/12/2021,"-21:15:33,400","-40:00:52,349","-21,2592777777","-40,0145413888",SIRGAS2000,Definitiva,Direcional,1409,1409,1409,MR,23,0,1343.0,NM,,Lagoa Feia,Coqueiros,,,,,,,,,,,,,,,,,,,,"NS-33, SS-79","LONE STAR, NORBE IX",I,01/01/2023
7-CNC-46-ES,34270029628,Petrobras,7CNC46ES,ES,Espírito Santo,nan,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2020-08-30,2020-09-06,2021-05-07 00:00:00,"-19:13:45,655","-39:50:47,811","-19,2293486111","-39,8466141666",SIRGAS2000,Definitiva,Vertical,-868.8,879,"877,2",MR,"8,38","3,23",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-CNC-40-ES,34270029631,Petrobras,7CNC40ES,ES,Espírito Santo,nan,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2020-09-10,2020-09-16,2021-05-05 00:00:00,"-19:13:46,500","-39:50:46,768","-19,2295833333","-39,8463244444",SIRGAS2000,Definitiva,Vertical,-885.2,894,"893,7",MR,"8,41","3,26",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
9-BUZ-48D-RJS,74316029635,Petrobras,9BUZ48DRJS,RJ,Santos,nan,BUZ  ,BÚZIOS,M,S,9,Especial,PRODUTOR COMERCIAL DE PETRÓLEO,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,2020-10-04,2020-12-13,2021-01-05 00:00:00,"-24:35:45,108","-42:38:37,734","-24,5958633333","-42,643815",SIRGAS2000,Definitiva,Direcional,-5932.4,6016,6016,MR,32,0,1850.0,NM,,Guaratiba,Barra Velha,,Existe,,,,Existe,Existe,,Existe,,Existe,Existe,Existe,Existe,Existe,,,,,NS-41,ODN I,S,01/01/2023
7-CNC-45D-ES,34270029632,Petrobras,7CNC45DES,ES,Espírito Santo,nan,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,INJETANDO,2020-09-21,2020-10-13,2021-06-26 00:00:00,"-19:13:43,231","-39:50:44,551","-19,2286752777","-39,8457086111",SIRGAS2000,Definitiva,Direcional,-827,945,"899,7",MR,"8,41","3,26",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,,,Existe,,,EBS-08,EBS-08,I,01/01/2023
1-BRSA-1377-RJS,74281029640,Petrobras,1RJS755,RJ,Campos,C-M-411,nan,nan,M,S,1,Pioneiro,nan,ABANDONADO PERMANENTEMENTE,2020-10-20,2021-01-16,2021-02-24 00:00:00,"-22:56:27,294","-39:22:28,263","-22,940915","-39,3745175",SIRGAS2000,Definitiva,Vertical,-6729.3,6777,"6771,2",MR,25,,2958.0,NM,,Lagoa Feia,Macabu,,Existe,,Existe,Existe,Existe,Existe,,Existe,,Existe,Existe,Existe,Existe,Existe,,,,,NS-47,West Tellus,S,01/01/2023
8-BUZ-57D-RJS,74316029726,Petrobras,8-BUZ-57D-RJS,RJ,Santos,nan,BUZ  ,BÚZIOS,M,S,8,Injeção,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2021-09-12,2021-11-19,2021-12-10 00:00:00,"-24:37:01,097","-42:32:53,119","-24,6169713888","-42,5480886111",SIRGAS2000,Definitiva,Direcional,-6128.2,6254,6254,MR,25,0,1892.0,NM,,Guaratiba,Itapema,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-38,ETESCO TAKATSUGU J,S,01/01/2023
8-BUZ-53i-RJS,74316029723,Petrobras,8-BUZ-53i-RJS,RJ,Santos,nan,BUZ  ,BÚZIOS,M,S,8,Injeção,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,2021-08-04,2021-08-11,2021-10-11 00:00:00,"-24:46:05,315","-42:27:43,919","-24,7681430555","-42,4621997222",SIRGAS2000,Definitiva,Vertical,-2919.6,2945,2945,MR,25,0,2035.0,NM,,Guaratiba,Ariri,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-31,PETROBRAS 10000,N,01/01/2023
7-MRO-17A-RJS,74316029725,Petrobras,7-MRO-17A-RJS,RJ,Santos,nan,MRO  ,MERO,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2021-09-07,2021-11-08,2021-11-26 00:00:00,"-24:36:33,394","-42:14:04,462","-24,6092761111","-42,2345727777",SIRGAS2000,Definitiva,Vertical,-5768.9,5790,5795,MR,25,0,1950.0,NM,,Guaratiba,Itapema,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,NS-39,Deepwater Myconos,S,01/01/2023
8-MRO-19-RJS,74316029740,Petrobras,8-MRO-19-RJS,RJ,Santos,nan,MRO  ,MERO,M,S,8,Injeção,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,2021-10-23,2021-11-03,2021-11-20 00:00:00,"-24:39:04,066","-42:15:43,203","-24,6511294444","-42,2620008333",SIRGAS2000,Definitiva,Vertical,-3065,3090,3090,MR,25,0,1977.0,NM,,Guaratiba,Itapema,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,"NS-39, NS-40","Deepwater Corcovado, Deepwater Myconos",N,01/01/2023
