poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,inicio,termino,conclusao,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
7-CNC-47-ES,34270029643,Petrobras,7CNC47ES,ES,Espírito Santo,,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,27/10/2020,08/11/2020,13/05/2021,"-19:14:00,443","-39:50:49,631","-19,2334563888","-39,8471197222",SIRGAS2000,Definitiva,Vertical,"1000,5",1009,1009,MR,"8,41","3,26",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-CNC-46-ES,34270029628,Petrobras,7CNC46ES,ES,Espírito Santo,,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,30/08/2020,06/09/2020,07/05/2021,"-19:13:45,655","-39:50:47,811","-19,2293486111","-39,8466141666",SIRGAS2000,Definitiva,Vertical,"-868,8",879,"877,2",MR,"8,38","3,23",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-CNC-40-ES,34270029631,Petrobras,7CNC40ES,ES,Espírito Santo,,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,10/09/2020,16/09/2020,05/05/2021,"-19:13:46,500","-39:50:46,768","-19,2295833333","-39,8463244444",SIRGAS2000,Definitiva,Vertical,"-885,2",894,"893,7",MR,"8,41","3,26",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
9-BUZ-48D-RJS,74316029635,Petrobras,9BUZ48DRJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,9,Especial,PRODUTOR COMERCIAL DE PETRÓLEO,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,04/10/2020,13/12/2020,05/01/2021,"-24:35:45,108","-42:38:37,734","-24,5958633333","-42,643815",SIRGAS2000,Definitiva,Direcional,"-5932,4",6016,6016,MR,32,0,1850.0,NM,,Guaratiba,Barra Velha,,Existe,,,,Existe,Existe,,Existe,,Existe,Existe,Existe,Existe,Existe,,,,,NS-41,ODN I,S,01/01/2023
7-CNC-45D-ES,34270029632,Petrobras,7CNC45DES,ES,Espírito Santo,,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,INJETANDO,21/09/2020,13/10/2020,26/06/2021,"-19:13:43,231","-39:50:44,551","-19,2286752777","-39,8457086111",SIRGAS2000,Definitiva,Direcional,-827,945,"899,7",MR,"8,41","3,26",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,,,Existe,,,EBS-08,EBS-08,I,01/01/2023
1-BRSA-1377-RJS,74281029640,Petrobras,1RJS755,RJ,Campos,C-M-411,,,M,S,1,Pioneiro,,ABANDONADO PERMANENTEMENTE,20/10/2020,16/01/2021,24/02/2021,"-22:56:27,294","-39:22:28,263","-22,940915","-39,3745175",SIRGAS2000,Definitiva,Vertical,"-6729,3",6777,"6771,2",MR,25,,2958.0,NM,,Lagoa Feia,Macabu,,Existe,,Existe,Existe,Existe,Existe,,Existe,,Existe,Existe,Existe,Existe,Existe,,,,,NS-47,West Tellus,S,01/01/2023
8-BUZ-57D-RJS,74316029726,Petrobras,8-BUZ-57D-RJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,8,Injeção,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,12/09/2021,19/11/2021,10/12/2021,"-24:37:01,097","-42:32:53,119","-24,6169713888","-42,5480886111",SIRGAS2000,Definitiva,Direcional,"-6128,2",6254,6254,MR,25,0,1892.0,NM,,Guaratiba,Itapema,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-38,ETESCO TAKATSUGU J,S,01/01/2023
8-BUZ-53i-RJS,74316029723,Petrobras,8-BUZ-53i-RJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,8,Injeção,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,04/08/2021,11/08/2021,11/10/2021,"-24:46:05,315","-42:27:43,919","-24,7681430555","-42,4621997222",SIRGAS2000,Definitiva,Vertical,"-2919,6",2945,2945,MR,25,0,2035.0,NM,,Guaratiba,Ariri,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-31,PETROBRAS 10000,N,01/01/2023
1-ENV-22-MA,50090029728,Eneva,1-ENV-BL146C-MA,MA,Parnaíba,PN-T-146,,,T,S,1,Pioneiro,,ARRASADO,14/09/2021,19/09/2021,24/09/2021,"-07:17:28,057","-46:04:54,219","-7,2911269444","-46,0817275",SIRGAS2000,Definitiva,Vertical,"1418,3",1692,"1690,3",MR,272,266,,NM,,Canindé,Itaim,,Existe,,Existe,Existe,Existe,,,Existe,,Existe,,,Existe,Existe,,,,,GREAT120 (TUS 120),GREAT - 120,I,01/01/2023
7-MRO-17A-RJS,74316029725,Petrobras,7-MRO-17A-RJS,RJ,Santos,,MRO  ,MERO,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,07/09/2021,08/11/2021,26/11/2021,"-24:36:33,394","-42:14:04,462","-24,6092761111","-42,2345727777",SIRGAS2000,Definitiva,Vertical,"-5768,9",5790,5795,MR,25,0,1950.0,NM,,Guaratiba,Itapema,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,NS-39,Deepwater Myconos,S,01/01/2023
