poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,início,término,conclusao,titularidade,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
1-ALC-1-RN,721000167700,Phoenix Óleo & Gás,1ALC 0001  RN,RN,Potiguar,POT-T-790,PQO  ,PERIQUITO,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE GÁS NATURAL,EM OBSERVAÇÃO,1984-02-04,1984-02-27,1984-02-27,Público,"	-05:30:48,425","	-37:25:08,034","-5,5134513888","-37,4188983333",SIRGAS2000,Definitiva,Vertical,0.0,1944.0,0.0,MR,85.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-82,SONDA CONVENCIONAL 82,nan,2024-11-24
1-ALG-1-RN,721000431600,Petro-Victory,1ALG 0001  RN,RN,Potiguar,ALG_R13AM,4362 ,Alto Alegre,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,1993-06-13,1993-07-09,1993-07-09,Público,"	-05:03:04,630","	-36:54:28,573","-5,0512861111","-36,9079369444",SIRGAS2000,Definitiva,Vertical,0.0,2562.0,0.0,MR,114.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,Existe,SC-106,SONDA CONVENCIONAL 106,I,2024-11-24
1-ALS-26-ALS,81160234900,Origem Alagoas,1ALS 0026  AL,AL,Alagoas,PARU,PARU ,PARU,M,N,1,Pioneiro,ABANDONADO POR OUTRAS RAZÕES,ARRASADO,1983-04-22,1983-06-15,1983-06-15,Público,"	-10:18:43,558","	-36:05:11,382","-10,3120994444","-36,086495",SIRGAS2000,Definitiva,Vertical,0.0,0.0,0.0,MR,26.0,0.0,24.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA-7                          ,nan,nan,2024-11-24
1-ANG-1-RN,721000185000,3R Potiguar,1ANG 0001  RN,RN,Potiguar,BPOT-6,ANG  ,ANGICO,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1984-08-04,1984-08-12,1984-08-12,Público,"	-05:24:49,357","	-37:02:23,018","-5,4137102777","-37,0397272222",SIRGAS2000,Definitiva,Vertical,0.0,906.0,0.0,MR,105.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-86,SONDA CONVENCIONAL 86,nan,2024-11-24
1-ANG-2-RN,721000297800,3R Potiguar,1ANG 0002  RN,RN,Potiguar,BPOT-6,ANG  ,ANGICO,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1987-10-26,1987-11-09,1987-11-09,Público,"	-05:24:19,905","	-37:02:01,824","-5,4055291666","-37,03384",SIRGAS2000,Definitiva,Vertical,0.0,1200.0,0.0,MR,99.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-94,SONDA CONVENCIONAL 94,I,2024-11-24
1-ANG-2-SE,901200258000,SPE Tiêta,1ANG 0002  SE,SE,Sergipe,S107,TTG  ,TARTARUGA,T,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1984-02-29,1984-04-02,1984-04-02,Público,"	-10:40:09,310","	-36:46:07,504","-10,6692527777","-36,7687511111",SIRGAS2000,Definitiva,Vertical,0.0,2670.0,0.0,MR,14.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,ET-3                          ,nan,nan,2024-11-24
1-APL-2-ESS,34281024147,Petro Rio Jaguar,1AEPL2ESS,ES,Campos,C-M-101,WAH  ,WAHOO,M,S,1,Pioneiro,PORTADOR DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,2009-09-03,2009-12-09,2009-12-20,Público,"	-21:34:43,968","	-39:53:10,318","-21,57888","-39,8861994444",SIRGAS2000,Definitiva,Vertical,5788.0,5815.0,5815.0,MR,25.0,0.0,1496.0,NM,nan,nan,nan,nan,Existe,nan,Existe,Existe,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,nan,nan,Existe,nan,NS-26,DEEPWATER MILLENIUM,S,2024-11-24
1-APL-3-ESS,34281024565,Petro Rio Jaguar,1APL3ESS,ES,Campos,C-M-101,nan,nan,M,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL,ABANDONADO PERMANENTEMENTE,2010-02-22,2010-08-14,2010-09-01,Público,"	-21:43:48,859","	-39:50:57,433","-21,7302386111","-39,8492869444",SIRGAS2000,Definitiva,Vertical,5162.0,5200.0,5242.0,MR,25.0,0.0,1476.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,nan,nan,nan,nan,NS-26,DEEPWATER MILLENIUM,S,2024-11-24
1-ARP-1D-RN,721000525600,Potiguar E&P S.A.,1ARP 0001D RN,RN,Potiguar,BPOT-4,ASB  ,ASA BRANCA,T,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1997-10-14,1997-11-03,1997-11-03,Público,"	-05:32:16,217","	-37:33:47,210","-5,5378380555","-37,5631138888",SIRGAS2000,Definitiva,Direcional,0.0,2077.0,0.0,MR,65.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC113                         ,nan,nan,2024-11-24
1-ATV-1-ES,342700051100,Petrobras,1ATV 0001  ES,ES,Espírito Santo,BCED,nan,nan,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,DEVOLVIDO,1999-06-14,1999-06-28,1999-06-28,Público,"	-19:06:14,897","	-39:50:32,218","-19,1041380555","-39,8422827777",SIRGAS2000,Definitiva,Vertical,0.0,1605.0,0.0,MR,8.0,0.0,0.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,SC-94,SONDA CONVENCIONAL 94,I,2024-11-24
