ano,campo/área_de_desenvolvimento,bacia,estado,voip_(bbl),vgip_(m³),petróleo_acumulado_(bbl),gás_natural_acumulado_(m³),fração_recuperada_de_petróleo,situação,bacia,estado,gás_natural_acumulado
2023,ABALONE,Campos,ES,15001196.85,1732809000.0,691767.4558725,73758208.33999999,0.0461141509433962,Maduro,,,
2023,ACAJÁ-BURIZINHO,Recôncavo,BA,830254.92,15452000.0,70445.872,157180.0,0.0848484848484848,Maduro,,,
2023,ACAUÃ,Potiguar,RN,3094586.52,3144000.0,88560.5248,23760.0,0.0286178861788617,Maduro,,,
2023,ÁGUA GRANDE,Recôncavo,BA,729046467.8634,14425388339.999998,320255343.14768326,15747822306.0,0.4392797404070119,Maduro,,,
2023,AGUILHADA,Sergipe,SE,30417521.160000004,62885999.99999999,1584173.0577502,4175704.36,0.0520809387923904,Maduro,,,
2023,AGULHA,Potiguar,RN,35160037.9,525076993.0,14411684.407749996,364415078.0,0.4098881932021466,Maduro,,,
2023,AGULHINHA,Sergipe,SE,41388578.86079,26176540000.0,0.0,0.0,0.0,Não Maduro,,,
2023,AGULHINHA OESTE,Sergipe,SE,12105720.55536,7656360000.0,0.0,0.0,0.0,Não Maduro,,,
2023,ALBACORA,Campos,RJ,5766380999.93849,146360709313.00003,937371774.2851118,17274350647.820007,0.1625580713960993,Maduro,,,
2023,ALBACORA LESTE,Campos,RJ,3695772849.609999,60959019260.0,412245895.9474048,8119740950.0,0.1115452471574132,Maduro,,,
2023,ALBATROZ,Espírito Santo,ES,3181241.23237,10304982.12,0.0,0.0,0.0,Não Maduro,,,
2023,ALTO DO RODRIGUES,Potiguar,RN,358714638.42537,333630000.0,58529521.144437805,64159335.07,0.1631645739392226,Maduro,,,
2023,ANAMBÉ,Alagoas,AL,31826350.542659983,1559068000.0,7040185.465165801,506807615.1700001,0.221206181202873,Maduro,,,
2023,AnC_MERO,Santos,RJ,345450548.72155,12610149748.0,3882260.1181791,251372793.48,0.0112382514155691,Não Maduro,,,
2023,AnC_NORTE_ATAPU,Santos,RJ,93972258.45457,2333690012.0,1465909.7857986,52572163.38,0.015599388690943,Não Maduro,,,
2023,AnC_TUPI,Santos,RJ,97609649.28776,3159761693.0,6904332.1105682,292425750.40000004,0.0707341145158072,Não Maduro,,,
2023,ANDORINHA,Potiguar,RN,5556920.080838,21214632.0,137009.6103699,517974.79999999993,0.0246556740742685,Não Maduro,,,
2023,ANEQUIM,Campos,RJ,48664259.970000006,602982000.0,20362071.10091,338924031.0,0.4184194132092542,Maduro,,,
2023,ANGELIM,Sergipe,SE,8863285.761500001,29989480.0,1039516.8987,5851990.0,0.1172834687577617,Maduro,,,
2023,ANGICO,Potiguar,RN,12933792.91129,30939405.0,370705.67687500006,3163007.63,0.0286617915887155,Não Maduro,,,
2023,APRAIÚS,Recôncavo,BA,24838459.69,1463752900.0,1610883.2391,71945390.0,0.0648543935173461,Maduro,,,
