Ano,Campo/Área de desenvolvimento,Bacia,Estado,VOIP (bbl),VGIP (m³),Petróleo Acumulado (bbl),Gás Natural Acumulado (m³),Fração Recuperada de Petróleo,Situação,Gás Natural Acumulado
2023,CABOCLINHO,Potiguar,RN,,55873700.0,,6658.4,,Maduro,
2023,CABOCLINHO BRANCO,Potiguar,RN,,44580000.0,,0.0,,Não Maduro,
2023,Camaçari,Recôncavo,BA,,169248000.0,,2924000.0,,Não Maduro,
2023,CARDEAL AMARELO,Recôncavo,BA,,884880000.0,,2227999.9999999995,,Não Maduro,
2023,CARDEAL DO NORDESTE LESTE,Recôncavo,BA,,109752220.0,,0.0,,Não Maduro,
2023,DÓ-RÉ-MI,Sergipe,SE,,20305000.0,,0.0,,Não Maduro,
2023,FAZENDA SORI,Recôncavo,BA,,101185000.0,,16487977.0,,Maduro,
2023,GRAÚNA,Potiguar,RN,,125305300.0,,639200.0,,Maduro,
2023,IRAÍ,Tucano Sul,BA,,320010000.0,,56785573.62,,Não Maduro,
2023,GUARÁ,Sergipe,SE,185965616.1321628,,33.6504835,,1.809500282895583e-07,Maduro,
2023,PARAMIRIM DO VENCIMENTO,Recôncavo,BA,2219999.9498523,,234424.992586,,0.10559684589254,Maduro,
