Column,Before,After
Nome,Not Found (Added),object
Categoria,Not Found (Added),object
Tipo,Not Found (Added),object
Autorização,Not Found (Added),object
Inicio,Not Found (Added),datetime64[ns]
Término Real,Not Found (Added),datetime64[ns]
Confidencialidade,Not Found (Added),object
Público em,Not Found (Added),datetime64[ns]
Ato Normativo,Not Found (Added),object
Tecnologia,Not Found (Added),object
Bloco,Not Found (Added),object
Campo,Not Found (Added),object
BACIA,Not Found (Added),object
E.A.D,Not Found (Added),object
OPERADORA,Not Found (Added),object
