Column,Before,After
COD_BLOCO,Not Found (Added),object
COD_FASE_C,Not Found (Added),object
DAT_ASSINA,Not Found (Added),datetime64[ns]
DAT_TERMIN,Not Found (Added),datetime64[ns]
NOM_BACIA,Not Found (Added),object
NOM_BLOCO,Not Found (Added),object
NOM_FANTAS,Not Found (Added),object
NUM_CONTRA,Not Found (Added),object
NUM_DESCOB,Not Found (Added),object
OPERADOR_C,Not Found (Added),Skipped (Unsupported Type 'object')
RODADA,Not Found (Added),Skipped (Unsupported Type 'object')
AREA_TOTAL,Not Found (Added),int64
AMBIENTE,Not Found (Added),object
BLOCOS,Not Found (Added),object
