;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Identificador da caixa;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária;;
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;1;30;162;333;27-Abr-08;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;1;13;2211;2385;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;2;13;2385;2565;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;3;13;2565;2745;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;4;13;2745;2925;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;5;13;2925;3045;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;6;13;3045;3105;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;7;13;3105;3165;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;8;13;3165;3225;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;9;13;3225;3285;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;10;13;3285;3345;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;11;13;3345;3405;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;12;13;3405;3465;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281025902;8-PPT-6-RJS;13;13;3465;3494;24/12/2011;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026008;8-PPT-5-RJS;1;11;2214;2385;04/03/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026008;8-PPT-5-RJS;2;11;2385;2565;04/03/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026008;8-PPT-5-RJS;3;11;2565;2745;04/03/2012;RIO DE JANEIRO/RJ;3R;;
