;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Profundidade da lâmina (m);Tipo de amostra de origem;Quantidade de lâminas delgadas;Quantidade de lâminas bioestratigráficas;Data de conclusão do poço;Município/Estado;Depositária
ALAGOAS MAR;081160316300;1-ALS-35;120 - 138;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS MAR;081160316300;1-ALS-35;1596 - 1614;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
SERGIPE TERRA;901200063800;1-BRG-1-SE;1191 - 1200;CALHA COMPOSTA;0;1;20/02/1970;RIO DE JANEIRO/RJ;PETROBRAS
SERGIPE TERRA;901200080000;1-CAP-1-SE;1334 - 1452;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
SERGIPE TERRA;901200080000;1-CAP-1-SE;702 - 720;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
CEARÁ;300960501500;1-CES-131;2394 - 2412;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
CEARÁ;300960505000;1-CES-132D;918 - 936;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
CEARÁ;300960044000;1-CES-30;2730 - 2745;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO MAR;342710033800;1-ESS-6;1581 - 1599;CALHA COMPOSTA;0;1;02/08/1971;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;948 - 966;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;984 - 1002;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;1020 - 1038;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;1056 - 1074;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;966 - 984;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;1002 - 1020;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;1038 - 1056;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700109600;1-FPA-1-ES;1074 - 1092;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1938 - 1947;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1947 - 1956;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1956 - 1965;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1965 - 1974;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1974 - 1983;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1983 - 1992;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;1992 - 2001;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2001 - 2010;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2010 - 2019;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2019 - 2028;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2028 - 2037;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2037 - 2046;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2046 - 2055;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2064 - 2073;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ALAGOAS TERRA;081150063200;1-FTD-1-AL;2073 - 2082;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
SERGIPE TERRA;901200007000;1-IDF-1-SE;30 - 60;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
SERGIPE TERRA;901200007000;1-IDF-1-SE;30 - 60;CALHA COMPOSTA;0;1;;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1524 - 1542;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1560 - 1578;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1596 - 1614;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1632 - 1650;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1668 - 1686;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1704 - 1722;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1740 - 1758;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1776 - 1794;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1812 - 1830;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1362 - 1380;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
ESPÍRITO SANTO TERRA;342700092600;1-LPI-1-ES;1434 - 1452;CALHA COMPOSTA;0;1;21/07/2005;RIO DE JANEIRO/RJ;PETROBRAS
