;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Profundidade do plugue (m);Orientação do plugue (H ou V);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);1;2632;H;1;3;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);1;2644;V;1;3;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);1;2645;V;1;3;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2;2668;V;2;3;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);3;2671;H;3;3;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);3;2680;H;3;3;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710041100;3-ESS-82;1;2751;H;1;1;08/04/1997;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710040000; 1-ESS-077;1;2905;H;1;1;28/07/1996;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710008400;1-ESS-67-ESS;1;3083;H;1;1;20/05/1988;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2484;H;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2484;V;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2484;H;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2484;V;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2484;H;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2485;H;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2485;H;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;342710048600; 4-ESS-89A;1;2485;V;1;1;26/03/1999;RIO DE JANEIRO/RJ;3R
