"Nome,Bacia,Natureza da atividade,Início Aquisição,Término Aquisição,Ambiente,Confidencialidade,Shape"
"GQ_PETROBRAS_SREC-T2_R12,Recôncavo,Exclusivo,08/05/2017,21/02/2020,Terrestre,Confidencial,NÃO"
"GQ_PETROBRAS_BTPN150_BTPN166,Parnaíba,Exclusivo,10/03/2015,06/12/2015,Terrestre,Público,NÃO"
"GQ_PRC_T_106_123_PETROBRAS,Parecis - Alto Xingu,Exclusivo,05/04/2014,01/09/2014,Terrestre,Público,SIM"
"GQ_0402_PN_T_136_182_GALPENERGIA,Parnaíba,Exclusivo,25/07/2016,30/11/2016,Terrestre,Público,NÃO"
"GQ_004_REC-T-151_PETRORECONCAVO,Recôncavo,Exclusivo,15/02/2007,03/03/2007,Terrestre,Público,NÃO"
"GQ_005_PN-T-66_DEVON,Parnaíba,Exclusivo,24/11/2008,16/12/2008,Terrestre,Público,SIM"
"GQ_005_ES-T-401_ES-T-410_STARFISH,Espírito Santo,Exclusivo,24/04/2009,30/04/2009,Terrestre,Público,SIM"
"GQ_005_RIOP-T-75_LABREA,Rio do Peixe,Exclusivo,26/06/2008,01/07/2008,Terrestre,Público,SIM"
"GQ_005_ES-T-400_LABREA,Espírito Santo,Exclusivo,25/05/2008,01/06/2008,Terrestre,Público,SIM"
"GQ_003_SEAL-T-369_QUANTRA,Sergipe,Exclusivo,25/04/2007,24/05/2007,Terrestre,Público,SIM"
"GQ_003_SEAL-T-340_QUANTRA,Sergipe,Exclusivo,25/05/2007,29/05/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-882_QUANTRA,Potiguar,Exclusivo,19/04/2007,23/04/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-321_AURIZONIA,Potiguar,Exclusivo,16/09/2006,24/09/2006,Terrestre,Público,SIM"
"GQ_003_POT-T-883_AURIZONIA,Potiguar,Exclusivo,05/09/2006,15/09/2006,Terrestre,Público,SIM"
"GQ_003_POT-T-701_AURIZONIA,Potiguar,Exclusivo,31/07/2006,20/08/2006,Terrestre,Público,SIM"
"GQ_003_SEAL-T-426_QUANTRA,Sergipe,Exclusivo,01/06/2007,04/06/2007,Terrestre,Público,SIM"
"GQ_003_SEAL-T-434_QUANTRA,Sergipe,Exclusivo,01/06/2007,04/06/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-406_AURIZONIA,Potiguar,Exclusivo,02/02/2007,07/02/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-367_QUANTRA,Potiguar,Exclusivo,19/01/2007,26/01/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-407_QUANTRA,Potiguar,Exclusivo,27/01/2007,01/02/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-573_AURIZONIA,Potiguar,Exclusivo,28/02/2007,08/03/2007,Terrestre,Público,SIM"
"GQ_003_POT-T-619_AURIZONIA,Potiguar,Exclusivo,09/03/2007,15/03/2007,Terrestre,Público,SIM"
