"Nome,Categoria,Tipo,Autorização,Inicio,Término Real,Confidencialidade,Público em,Ato Normativo,Tecnologia,Bloco,Campo,Bacia,E.A.D,Operadora"
"0263_3D_NODES_LIBRA_NW,Levantamento Geofísico,Exclusivo,,07/10/2017,07/11/2018,Confidencial,07/11/2023,Normal,Sísmica 3D,LIBRA     ,MERO,(não informada),Fairfield,Petrobras"
"0264_2D_RECONCAVO_T_066_2018,Levantamento Geofísico,Exclusivo,,08/07/2018,10/07/2018,Confidencial,10/07/2023,Res. 1/2015,Sísmica 2D,REC-T-66  ,(não informado),(não informada),CGG,Imetame"
"0264_2D_RECONCAVO_T_099_2018,Levantamento Geofísico,Exclusivo,,12/06/2018,08/07/2018,Confidencial,08/07/2023,Res. 1/2015,Sísmica 2D,REC-T-99  ,(não informado),(não informada),CGG,Imetame"
"0264_4D_JUBARTE_MONITOR_01,Levantamento Geofísico,Exclusivo,,15/08/2018,16/11/2018,Confidencial,16/11/2023,Normal,Sísmica 3D,C-M-61    ,(múltiplos),Campos,CGG,Petrobras"
"0317_3D_COPAIBA,Levantamento Geofísico,Exclusivo,,22/12/2017,15/11/2018,Confidencial,15/11/2023,Normal,Sísmica 3D,SOL-T-170 ,(não informado),Solimões,Geokinetics,Rosneft"
"0372_NODES_LULA_MONITOR,Levantamento Geofísico,Exclusivo,,19/10/2017,20/02/2018,Confidencial,20/02/2023,Res. 11/2011,Sísmica 3D,(não informado),TUPI,(não informada),CGG,Petrobras"
"0375_2D_CALIFORNIA,Levantamento Geofísico,Exclusivo,,01/07/2017,22/07/2018,Confidencial,22/07/2023,Res. 1/2015,Sísmica 2D,(múltiplos),(múltiplos),Parnaíba,Wellfield,Eneva"
"R_0327_3D_BM_S_50,Reprocessamento,Exclusivo,,22/09/2017,13/07/2018,Confidencial,13/07/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,(NÃO INFORMADO),(NÃO INFORMADO),(NÃO INFORMADA),Repsol Sinopec,Repsol Sinopec"
"R0026_2D_RECONCAVO_SREC_T4_L2,Reprocessamento,Exclusivo,,11/07/2018,07/08/2018,Confidencial,07/08/2023,Res. 1/2015,PSTM 2D,(múltiplos),(múltiplos),Recôncavo,Petrobras,Petrobras"
"R0026_2D_VILA_PIAUI,Reprocessamento,Exclusivo,,11/12/2017,08/03/2018,Confidencial,08/03/2023,Res. 1/2015,PSTM 2D,(NÃO INFORMADO),CANTO DO AMARO,(NÃO INFORMADA),Petrobras,Petrobras"
"R0026_3D_PSDM_IBIRIBAS_CNC,Reprocessamento,Exclusivo,,18/12/2017,20/03/2018,Confidencial,20/03/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,(múltiplos),(múltiplos),Espírito Santo,Petrobras,Petrobras"
"R0026_3D_PSTM_HD_FAZ_STA_LUZIA,Reprocessamento,Exclusivo,,25/07/2018,16/10/2018,Confidencial,16/10/2023,Normal,(múltiplas),(NÃO INFORMADO),(múltiplos),Espírito Santo,Petrobras,Petrobras"
"R0026_CANTAGALO_EX_PSDM,Reprocessamento,Exclusivo,,26/12/2017,02/04/2018,Confidencial,02/04/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,(múltiplos),(múltiplos),(NÃO INFORMADA),Petrobras,Petrobras"
"R0026_MERGE_RIN_CER_ROU,Reprocessamento,Exclusivo,,02/04/2018,13/09/2018,Confidencial,13/09/2023,Normal,Reproc. de Dados Sísmicos 3D,(múltiplos),(múltiplos),(NÃO INFORMADA),Petrobras,Petrobras"
