Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
ALAGOAS MAR;081160406100;1-BRSA-132-ALS;ÁGUA;2.750,60;2.750,60;3;Garrafa Vidro Âmbar;1;26/04/2002;CATU/BA;PETROBRAS
ALAGOAS TERRA;081150497500;1-BRSA-935-AL;ÁGUA;352,00;372,00;5;Garrafa Vidro Âmbar;1;05/06/2011;CATU/BA;PETROBRAS
ALMADA MAR;202660630900;1-BRSA-637D-BAS;ÓLEO;1.471,50;1.471,50;1;Garrafa Vidro Âmbar;1;25/11/2008;CATU/BA;PETROBRAS
ALMADA MAR;202660630900;1-BRSA-637D-BAS;ÓLEO;2.760,20;2.760,20;1;Garrafa Vidro Âmbar;1;25/11/2008;CATU/BA;PETROBRAS
ALMADA MAR;202660630900;1-BRSA-637D-BAS;ÓLEO;2.773,00;2.775,00;2;Garrafa Vidro Âmbar;1;25/11/2008;CATU/BA;PETROBRAS
ALMADA MAR;202660640700;1-BRSA-734-BAS;CONDENSADO;3.689,40;3.709,40;2;Garrafa Vidro Âmbar;1;07/09/2009;CATU/BA;PETROBRAS
ALMADA MAR;202660640700;1-BRSA-734-BAS;ÁGUA DE FORMAÇÃO;3.811,00;3.811,00;2;Garrafa Vidro Âmbar;1;07/09/2009;CATU/BA;PETROBRAS
CEARÁ;300960850000;1-BRSA-1080-CES;ÓLEO;3.800,00;3.826,00;4;Garrafa Vidro Âmbar;1;13/09/2012;CATU/BA;PETROBRAS
ESPÍRITO SANTO TERRA;342700131500;1-BRSA-426-ES;ÓLEO;465,00;474,00;1;Garrafa Vidro Âmbar;1;06/09/2007;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400624300;1-BRSA-540-BA;ÓLEO;1.182,60;1.182,60;2;Garrafa Vidro Âmbar;1;19/11/2007;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400674500;1-STAR-27-BA;ÓLEO;3.182,00;3.200,20;1;Garrafa Vidro Âmbar;1;16/01/2013;CATU/BA;PETROBRAS
SOLIMÕES;140200061600;1-CUP-1-AM;ÁGUA;0,00;0,00;2;Garrafa Vidro Âmbar;1;03/07/1989;CATU/BA;PETROBRAS
SOLIMÕES;140200061600;1-CUP-1-AM;CONDENSADO;2.475,00;2.480,00;2;Garrafa Vidro Âmbar;1;03/07/1989;CATU/BA;PETROBRAS
ALAGOAS TERRA;081150097400;1-FPB-2-AL;NAO IDENTIFICADO;0,00;0,00;1;Garrafa Vidro Âmbar;1;;CATU/BA;PETROBRAS
ALAGOAS TERRA;081150421100;1-BRSA-266D-AL;ÓLEO;1.077,10;1.077,10;1;Garrafa Vidro Âmbar;1;15/05/2004;CATU/BA;PETROBRAS
ALAGOAS TERRA;081150421100;1-BRSA-266D-AL;ÓLEO;1.149,00;1.149,00;1;Garrafa Vidro Âmbar;1;15/05/2004;CATU/BA;PETROBRAS
